Iteration,Start Point,End Point,Path Length
152,"(1981, 1701)","(819, 353)",3241.04321498701
153,"(1754, 1860)","(1447, 1106)",1034.3077913133288
154,"(452, 115)","(1601, 715)",1654.8906191581289
155,"(1300, 178)","(378, 1345)",2699.921281898862
156,"(749, 787)","(1948, 1326)",1912.3901858822421
157,"(1261, 1303)","(833, 779)",983.7686860699276
158,"(1969, 1860)","(1981, 432)",1945.1769824466453
159,"(1446, 1865)","(656, 1345)",1258.5108934811603
160,"(1405, 501)","(1743, 223)",542.2224381515883
161,"(179, 874)","(1204, 1121)",1415.932249718471
162,"(1290, 1778)","(1421, 376)",1964.260243567331
163,"(1565, 764)","(128, 162)",2355.8725086636155
164,"(682, 1159)","(1076, 491)",1049.1067811865523
165,"(307, 1771)","(1099, 211)",3112.1731573019265
166,"(1600, 1559)","(1933, 891)",976.3077913133291
167,"(353, 425)","(535, 201)",360.74220741123213
168,"(1936, 613)","(665, 859)",1834.0176028802114
169,"(905, 992)","(1736, 76)",1650.0693347083195
170,"(60, 365)","(481, 1762)",1785.1454531540678
171,"(87, 1653)","(1526, 1218)",2132.7476169826136
172,"(149, 1628)","(1050, 1175)",1380.5180361560979
173,"(1185, 58)","(3, 63)",1641.902812466948
174,"(1701, 758)","(1036, 68)",1771.390185882242
175,"(1878, 681)","(41, 1434)",3523.2828970812466
176,"(181, 206)","(1422, 806)",1825.0743853422027
177,"(682, 155)","(709, 605)",630.0924958366771
178,"(1696, 755)","(457, 1361)",2824.798482258874
179,"(360, 409)","(33, 1745)",1713.80230740356
180,"(1975, 1482)","(452, 1825)",2211.5588001646474
181,"(1844, 1232)","(1246, 1128)",946.4793641885825
182,"(1964, 532)","(183, 1002)",2512.541556221912
183,"(563, 908)","(1685, 1867)",2010.5689014324332
184,"(99, 1460)","(1907, 645)",3297.565076287691
185,"(115, 1820)","(1259, 1040)",2224.546606855824
186,"(1068, 1553)","(1593, 1737)",747.614357137376
187,"(1620, 862)","(613, 359)",1897.804399444615
188,"(346, 859)","(1801, 1249)",2181.906996549043
189,"(114, 1042)","(1798, 1187)",2557.117241391765
190,"(924, 1173)","(1569, 1091)",874.2834046956885
191,"(1896, 1801)","(1392, 1167)",1000.9646455628213
192,"(885, 160)","(598, 1233)",1580.6601717798292
193,"(1256, 422)","(587, 210)",947.9230150024785
194,"(700, 1191)","(1307, 1329)",899.5382386916281
195,"(1714, 152)","(764, 806)",1632.282538143916
196,"(1842, 418)","(210, 1423)",3222.435133972775
197,"(282, 1784)","(510, 636)",1535.346463280844
198,"(1717, 1928)","(910, 1238)",1534.0449480906793
199,"(593, 1007)","(852, 381)",838.4427842621224
200,"(1225, 324)","(1393, 1130)",1348.895669792011
